,model,Accuracy (%),Precision (%),Recall (%),Weighted F1 (%),Macro F1 (%),Batch Latency (ms),P99 Single-Row Latency (ms),Model Size (MB)
0,Decision Tree,89.26265467636385,90.50932880752077,89.26265467636385,89.55065422974833,81.28162559980892,0.0002801356560555272,0.792203978053294,0.5666971206665039
1,Random Forest,61.58378394135051,62.64816283195398,61.58378394135051,61.90089005134355,57.501492720746526,0.013766084337760026,57.57825802778824,337.46218490600586
2,XGBoost,66.14883181997055,68.1438576973662,66.14883181997055,66.33237297033239,63.56469419667371,0.0020912331841315313,4.905486982315779,12.672171592712402
3,LightGBM,66.76316479864745,69.01001660953557,66.76316479864745,67.01061464288978,63.25237541762516,0.013201461500335195,1.8126240064157173,21.325340270996094
4,CatBoost,64.04184460217749,67.10520342717274,64.04184460217749,64.24811366561524,59.5869688448565,0.0005733078514485844,2.7957699837861583,10.19199275970459
5,SVM,42.44035213012491,62.97953570564484,42.44035213012491,38.80214068103901,29.84017965360216,0.9014524975951924,5.5811229965183875,8.071420669555664
6,Logistic Regression,51.70490154639926,54.94379744028868,51.70490154639926,50.9442565841999,43.140377238077306,0.0010408380216677623,1.7751010123174638,0.009988784790039062
7,AutoML-Ensemble,90.30876973080119,90.83621242700491,90.30876973080119,90.41276266275537,82.66188275857226,0.023504207780035133,36.108574004028924,34.56803035736084
8,LAE-XAI-IDS,90.80249522671292,91.22520919784893,90.80249522671292,90.8747756045033,82.31669337593091,0.024099531051940425,11.592483038548375,31.746305465698242
