,variant,macro_f1_pct,weighted_f1_pct
0,Best single model (Decision Tree),81.28162559980892,89.55065422974833
1,"Latency-aware ensemble, full features (no SHAP)",82.66188275857226,90.41276266275537
2,XAI-IDS (tau=0.80),80.79364862455637,90.55620808087215
3,XAI-IDS (tau=0.90),83.19868099061215,90.62657415694079
4,"LAE-XAI-IDS (tau=0.95, proposed)",82.31669337593091,90.8747756045033
5,XAI-IDS (tau=0.99),83.09583611961712,90.41115555662127
6,"No class balancing (LAE members, uniform)",78.02592825614116,83.1912975091461
