,model,P99 Single-Row Latency (ms),Model Size (MB)
0,Decision Tree,0.792203978053294,0.5666971206665039
1,Random Forest,57.57825802778824,337.46218490600586
2,XGBoost,4.905486982315779,12.672171592712402
3,LightGBM,1.8126240064157173,21.325340270996094
4,CatBoost,2.7957699837861583,10.19199275970459
5,SVM,5.5811229965183875,8.071420669555664
6,Logistic Regression,1.7751010123174638,0.009988784790039062
7,AutoML-Ensemble,36.108574004028924,34.56803035736084
8,LAE-XAI-IDS,11.592483038548375,31.746305465698242
