,model,P99 Single-Row Latency (ms),Model Size (MB),Macro F1 (%)
0,Decision Tree,0.792203978053294,0.5666971206665039,81.28162559980892
1,Random Forest,57.57825802778824,337.46218490600586,57.501492720746526
2,XGBoost,4.905486982315779,12.672171592712402,63.56469419667371
3,LightGBM,1.8126240064157173,21.325340270996094,63.25237541762516
4,CatBoost,2.7957699837861583,10.19199275970459,59.5869688448565
5,SVM,5.5811229965183875,8.071420669555664,29.84017965360216
6,Logistic Regression,1.7751010123174638,0.009988784790039062,43.140377238077306
7,AutoML-Ensemble,36.108574004028924,34.56803035736084,82.66188275857226
8,LAE-XAI-IDS,11.592483038548375,31.746305465698242,82.31669337593091
