,feature,shap_value,feature_value
0,src2dst_bytes,-0.05252311007366728,0.0
1,src2dst_bytes,0.07682770234224266,1.5785052419516803e-06
2,src2dst_bytes,0.08851980175625628,7.484010360392025e-08
3,src2dst_bytes,0.2781980275503918,1.5490921007973014e-06
4,src2dst_bytes,-0.05252375941270925,0.0
5,src2dst_bytes,-0.05252311007366728,0.0
6,src2dst_bytes,0.27803449552604714,1.1471125050207863e-06
7,src2dst_bytes,-0.05252311007366728,0.0
8,src2dst_bytes,0.2780358786212527,1.0980906030968212e-06
9,src2dst_bytes,0.2781980275503918,1.5981140027212663e-06
10,src2dst_bytes,-0.05252311007366728,0.0
11,src2dst_bytes,0.3108245461373697,1.5687008615668871e-06
12,src2dst_bytes,0.2781980275503918,1.470657057718957e-06
13,src2dst_bytes,0.27819726017761465,1.4608526773341638e-06
14,src2dst_bytes,-0.05252311007366728,0.0
15,src2dst_bytes,-0.05252311007366728,0.0
16,src2dst_bytes,-0.05252311007366728,0.0
17,src2dst_bytes,-0.05252375941270925,0.0
18,src2dst_bytes,-0.05252375941270925,0.0
19,src2dst_bytes,-0.05252311007366728,0.0
20,src2dst_bytes,0.07682726961801019,1.5588964811820944e-06
21,src2dst_bytes,0.07682726961801019,1.5785052419516803e-06
22,src2dst_bytes,0.07682770234224266,1.5687008615668871e-06
23,src2dst_bytes,-0.05252311007366728,0.0
24,src2dst_bytes,-0.05252375941270925,0.0
25,src2dst_bytes,-0.05252311007366728,0.0
26,src2dst_bytes,-0.05252311007366728,0.0
27,src2dst_bytes,0.2781980275503918,1.6079183831060595e-06
28,src2dst_bytes,0.2780340628018147,1.490265818488543e-06
29,src2dst_bytes,0.07682770234224266,1.5785052419516803e-06
30,src2dst_bytes,-0.05252375941270925,0.0
31,src2dst_bytes,0.2780358786212527,1.5196789596429222e-06
32,src2dst_bytes,-0.05252311007366728,0.0
33,src2dst_bytes,0.2572985846145778,1.5883096223364735e-06
34,src2dst_bytes,-0.05252311007366728,0.0
35,src2dst_bytes,-0.05252375941270925,0.0
36,src2dst_bytes,-0.05252311007366728,0.0
37,src2dst_bytes,0.2781980275503918,1.6079183831060595e-06
38,src2dst_bytes,0.2781980275503918,1.5490921007973014e-06
39,src2dst_bytes,-0.05252311007366728,0.0
40,src2dst_bytes,-0.05252311007366728,0.0
41,src2dst_bytes,-0.05252311007366728,0.0
42,src2dst_bytes,-0.05252311007366728,0.0
43,src2dst_bytes,0.08851980175625628,1.594845875926336e-07
44,src2dst_bytes,0.2780358786212527,1.1078949834816142e-06
45,src2dst_bytes,0.07682770234224266,1.5687008615668871e-06
46,src2dst_bytes,-0.11467831487518333,0.0
47,src2dst_bytes,-0.05252311007366728,0.0
48,src2dst_bytes,-0.05252311007366728,0.0
49,src2dst_bytes,-0.05252311007366728,0.0
50,src2dst_bytes,-0.05252375941270925,0.0
51,src2dst_bytes,-0.05252311007366728,0.0
52,src2dst_bytes,-0.05252375941270925,0.0
53,src2dst_bytes,0.27819726017761465,1.5490921007973014e-06
54,src2dst_bytes,-0.05252311007366728,0.0
55,src2dst_bytes,-0.05252311007366728,0.0
56,src2dst_bytes,0.06207346926604684,9.794576004408251e-06
57,src2dst_bytes,-0.05252311007366728,0.0
58,src2dst_bytes,-0.05252375941270925,0.0
59,src2dst_bytes,0.27819726017761465,1.5392877204125084e-06
60,src2dst_bytes,0.2781980275503918,1.470657057718957e-06
61,src2dst_bytes,-0.05252311007366728,0.0
62,src2dst_bytes,0.2572985846145778,1.5883096223364735e-06
63,src2dst_bytes,0.07682770234224266,1.5785052419516803e-06
64,src2dst_bytes,0.2780358786212527,1.1078949834816142e-06
65,src2dst_bytes,-0.11467831487518333,0.0
66,src2dst_bytes,0.25729815189034533,1.5981140027212663e-06
67,src2dst_bytes,-0.05252311007366728,0.0
68,src2dst_bytes,-0.05252311007366728,0.0
69,src2dst_bytes,0.2781980275503918,1.5490921007973014e-06
70,src2dst_bytes,-0.05252311007366728,0.0
71,src2dst_bytes,0.0776626694862695,1.5981140027212663e-06
72,src2dst_bytes,-0.05252375941270925,0.0
73,src2dst_bytes,-0.05252375941270925,0.0
74,src2dst_bytes,-0.05252311007366728,0.0
75,src2dst_bytes,-0.05252311007366728,0.0
76,src2dst_bytes,0.2781980275503918,1.6079183831060595e-06
77,src2dst_bytes,-0.05252311007366728,0.0
78,src2dst_bytes,-0.05252311007366728,0.0
79,src2dst_bytes,0.2780351112484755,1.0882862227120282e-06
80,src2dst_bytes,0.2780340628018147,1.1373081246359931e-06
81,src2dst_bytes,-0.05252375941270925,0.0
82,src2dst_bytes,-0.05252311007366728,0.0
83,src2dst_bytes,-0.05252311007366728,0.0
84,src2dst_bytes,-0.05252311007366728,0.0
85,src2dst_bytes,-0.05252311007366728,0.0
86,src2dst_bytes,-0.05252311007366728,0.0
87,src2dst_bytes,-0.11467831487518333,0.0
88,src2dst_bytes,0.2781980275503918,1.500070198873336e-06
89,src2dst_bytes,0.04619275320629927,6.812410304033702e-06
90,src2dst_bytes,0.2780358786212527,1.1078949834816142e-06
91,src2dst_bytes,-0.05252311007366728,0.0
92,src2dst_bytes,0.0776626694862695,1.5588964811820944e-06
93,src2dst_bytes,-0.05252311007366728,0.0
94,src2dst_bytes,-0.05252311007366728,0.0
95,src2dst_bytes,0.2572985846145778,1.6177227634908527e-06
96,src2dst_bytes,0.2781980275503918,1.500070198873336e-06
97,src2dst_bytes,-0.05252375941270925,0.0
98,src2dst_bytes,-0.05252311007366728,0.0
99,src2dst_bytes,0.27819726017761465,1.5981140027212663e-06
100,src2dst_bytes,-0.05252311007366728,0.0
101,src2dst_bytes,-0.05252375941270925,0.0
102,src2dst_bytes,-0.05252311007366728,0.0
103,src2dst_bytes,-0.05252375941270925,0.0
104,src2dst_bytes,0.25729815189034533,1.5981140027212663e-06
