,model,Accuracy (%),Weighted F1 (%),Macro F1 (%),Recall (%)
0,Decision Tree,89.26265467636385,89.55065422974833,81.28162559980892,89.26265467636385
1,Random Forest,61.58378394135051,61.90089005134355,57.501492720746526,61.58378394135051
2,XGBoost,66.14883181997055,66.33237297033239,63.56469419667371,66.14883181997055
3,LightGBM,66.76316479864745,67.01061464288978,63.25237541762516,66.76316479864745
4,CatBoost,64.04184460217749,64.24811366561524,59.5869688448565,64.04184460217749
5,SVM,42.44035213012491,38.80214068103901,29.84017965360216,42.44035213012491
6,Logistic Regression,51.70490154639926,50.9442565841999,43.140377238077306,51.70490154639926
7,AutoML-Ensemble,90.30876973080119,90.41276266275537,82.66188275857226,90.30876973080119
8,LAE-XAI-IDS,90.80249522671292,90.8747756045033,82.31669337593091,90.80249522671292
