variant,n_features,combiner,members,accuracy_pct,precision_pct,recall_pct,weighted_f1_pct,macro_f1_pct,p99_latency_ms,model_size_mb
Best single model (Decision Tree),64,none,Decision Tree,89.26265467636385,90.50932880752077,89.26265467636385,89.55065422974833,81.28162559980892,0.792203978053294,0.5666971206665039
"Latency-aware ensemble, full features (no SHAP)",64,Stacking,"Decision Tree, LightGBM, XGBoost",90.30876973080119,90.83621242700491,90.30876973080119,90.41276266275537,82.66188275857226,36.108574004028924,34.56803035736084
XAI-IDS (tau=0.80),7,Stacking,"Decision Tree, LightGBM, XGBoost",90.4813003745755,90.93985109697935,90.4813003745755,90.55620808087215,80.79364862455637,7.245368977892211,31.738606452941895
XAI-IDS (tau=0.90),10,Stacking,"Decision Tree, LightGBM, XGBoost",90.55891183629447,90.9910051547543,90.55891183629447,90.62657415694079,83.19868099061215,7.766571034444493,30.26812171936035
"LAE-XAI-IDS (tau=0.95, proposed)",13,Stacking,"Decision Tree, LightGBM, XGBoost",90.80249522671292,91.22520919784893,90.80249522671292,90.8747756045033,82.31669337593091,11.592483038548375,31.746305465698242
XAI-IDS (tau=0.99),19,Stacking,"Decision Tree, LightGBM, XGBoost",90.31113815568932,90.83463500081699,90.31113815568932,90.41115555662127,83.09583611961712,9.385636044316925,34.707146644592285
"No class balancing (LAE members, uniform)",13,Voting-Uniform,"Decision Tree, LightGBM, XGBoost",83.34796898456516,83.70204782835773,83.34796898456516,83.1912975091461,78.02592825614116,7.620670989272184,19.46961784362793
