feature,Aggressive scan,ICMP flood or fragmentation,Identity rotation and rotation flood,Normal,OS fingerprinting,Port scanning,Service detection,Slow request starvation,Stealth SYN scanning,TCP floods,UDP flood,Vulnerability scan
dst2src_psh_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_rst_packets,0.0,0.0,0.0,0.0,0.0,9.57951911697251e-21,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_fin_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
application_name,0.007146009881255089,2.820825670459775e-06,0.0,0.0,0.005254483225744269,0.0001462891158713116,1.0703108321505338e-20,0.012871674254626377,2.835739252465309e-20,0.0005067252389367631,0.0,4.899713801688161e-05
application_category_name,0.0,0.0,0.0,0.0,5.523323022527135e-05,2.2011821002792934e-05,5.3341052820392307e-20,6.002498980717599e-20,1.5057577648397608e-19,0.0,0.0,5.746504861777318e-05
application_is_guessed,0.004321468523465638,0.002790031809608218,0.03907394641524454,0.0,0.00010294160858800724,0.0035807974037604406,0.009271456291813777,0.006418050312082864,0.0030018453761648917,0.07911326623796942,0.06971321096254496,0.054526074560702936
application_confidence,0.0,0.0,0.0,0.0,0.0,2.0808719602017494e-19,5.3498600948581607e-20,2.55465136891897e-19,3.931334018091384e-20,0.0,0.0,0.0
requested_server_name,0.0,0.0005989872597541057,0.0,0.0,0.0,0.0,0.0,0.0005989872597541054,0.0,0.0,0.0,0.0
client_fingerprint,0.00019988621747722674,0.00019002833490351528,0.0,0.0,0.0,0.0,0.0,1.4229660508512646e-05,0.0,4.371777934794767e-06,0.0,0.0
server_fingerprint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
content_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
