variant,n_features,combiner,members,accuracy_pct,precision_pct,recall_pct,weighted_f1_pct,macro_f1_pct,p99_latency_ms,model_size_mb
Best single model (XGBoost),58,none,XGBoost,98.23356231599607,98.26909090193543,98.23356231599607,98.22690540669757,98.25613620998308,5.846555999995644,5.1204118728637695
"Latency-aware ensemble, full features (no SHAP)",58,Voting-Uniform,"CatBoost, LightGBM, XGBoost",98.38777512967896,98.41620559613077,98.38777512967896,98.38354758777781,97.49929943511123,8.411794000176085,27.448726654052734
XAI-IDS (tau=0.80),21,Voting-Uniform,"CatBoost, LightGBM, XGBoost",98.19150427590074,98.22682581473536,98.19150427590074,98.18374221052797,97.28798601694865,4.9920339994969245,27.53358268737793
XAI-IDS (tau=0.90),29,Voting-Uniform,"CatBoost, LightGBM, XGBoost",98.31767839618674,98.34631255598279,98.31767839618674,98.31251409501603,97.43891885936252,6.826361999383153,27.4248046875
"LAE-XAI-IDS (tau=0.95, proposed)",35,Voting-Uniform,"CatBoost, LightGBM, XGBoost",98.38777512967896,98.41568502617349,98.38777512967896,98.38309108113657,97.53865691788704,5.851791999602937,27.43485450744629
XAI-IDS (tau=0.99),44,Voting-Uniform,"CatBoost, LightGBM, XGBoost",98.34571708958363,98.37484539256674,98.34571708958363,98.34137399366693,97.4777624054078,11.528451000103813,27.379042625427246
"No class balancing (LAE members, uniform)",35,Voting-Uniform,"CatBoost, LightGBM, XGBoost",97.71484648815365,97.7862937124105,97.71484648815365,97.698911148187,94.44609372512234,9.45028699987233,9.644427299499512
