,Accuracy (%),Precision (%),Recall (%),Weighted F1 (%),Macro F1 (%),P99 Single-Row Latency (ms),Model Size (MB)
Decision Tree,99.04133769746541,99.25766017677537,99.04133769746541,99.12310895134924,70.68328715746513,1.6069240000132368,0.1302652359008789
Random Forest,99.49818447034188,99.5951287204343,99.49818447034188,99.53301013911602,83.3291862099318,71.7934539999726,46.24453639984131
XGBoost,99.43598887638514,99.57053450750287,99.43598887638514,99.48608348555575,79.82469228047952,5.846555999995644,5.1204118728637695
LightGBM,99.49572349360258,99.61054598210183,99.49572349360258,99.53760311122339,77.21519259622059,3.799332999844864,16.042967796325684
CatBoost,98.80307040407,99.2341952800568,98.80307040407,98.9779039212629,66.0911884372132,2.0819460003485784,6.285275459289551
AutoML-Ensemble,99.48408978538046,99.60701026381035,99.48408978538046,99.5289539150292,76.67212394290563,8.411794000176085,27.448726654052734
LAE-XAI-IDS,99.46462569662421,99.589293995932,99.46462569662421,99.51012709479684,76.2865228261317,5.851791999602937,27.43485450744629
