,variant,macro_f1_pct,weighted_f1_pct
0,Best single model (XGBoost),98.25613620998308,98.22690540669757
1,"Latency-aware ensemble, full features (no SHAP)",97.49929943511123,98.38354758777781
2,XAI-IDS (tau=0.80),97.28798601694865,98.18374221052797
3,XAI-IDS (tau=0.90),97.43891885936252,98.31251409501603
4,"LAE-XAI-IDS (tau=0.95, proposed)",97.53865691788704,98.38309108113657
5,XAI-IDS (tau=0.99),97.4777624054078,98.34137399366693
6,"No class balancing (LAE members, uniform)",94.44609372512234,97.698911148187
