,class,Decision Tree,Random Forest,XGBoost,LightGBM,CatBoost,SVM,Logistic Regression,AutoML-Ensemble,LAE-XAI-IDS
0,BENIGN,0.9785344189489267,0.9762313158539574,0.9781273040058982,0.9793103448275862,0.9815737051792829,0.8719481813652217,0.8975039830058418,0.9805370780980537,0.9805274833620902
1,Bot,0.9898167006109979,0.9939148073022313,0.9919028340080972,0.9878542510121457,0.9819639278557114,0.8921389396709324,0.8994515539305301,0.9939148073022313,0.9959349593495935
2,Brute Force,0.9834056676027572,0.9877986781901372,0.9872838250254323,0.9880559085133418,0.9916561314791403,0.9769173492181683,0.9798356982823002,0.9885699771399543,0.9875476493011436
3,DoS/DDoS,0.9831683168316832,0.9880537580886013,0.9880597014925373,0.9878018421707742,0.985363433391218,0.9632172633643943,0.9506506260741469,0.9880537580886013,0.9885629040278469
4,Infiltration,1.0,1.0,1.0,0.9333333333333333,0.875,0.6,0.1791044776119403,0.9333333333333333,0.9333333333333333
5,PortScan,0.9509594882729211,0.9492988133764833,0.947481243301179,0.9553191489361702,0.9584664536741214,0.636734693877551,0.9350104821802935,0.9542066027689031,0.9542066027689031
6,Web Attack,0.9692496924969249,0.981226533166458,0.9850746268656716,0.9888198757763975,0.980246913580247,0.9284876905041032,0.9287410926365796,0.986335403726708,0.9875930521091811
