,model,P99 Single-Row Latency (ms),Model Size (MB),Macro F1 (%)
0,Decision Tree,1.6069240000132368,0.1302652359008789,97.93048978234587
1,Random Forest,71.7934539999726,46.24453639984131,98.23605579968383
2,XGBoost,5.846555999995644,5.1204118728637695,98.25613620998308
3,LightGBM,3.799332999844864,16.042967796325684,97.4356386367107
4,CatBoost,2.0819460003485784,6.285275459289551,96.48957950228174
5,SVM,1.6395530002409942,3.1367273330688477,83.84920168571958
6,Logistic Regression,0.8706050007731392,0.006686210632324219,82.43282733888047
7,AutoML-Ensemble,8.411794000176085,27.448726654052734,97.49929943511123
8,LAE-XAI-IDS,5.851791999602937,27.43485450744629,97.53865691788704
