,model,Accuracy (%),Weighted F1 (%),Macro F1 (%),Recall (%)
0,Decision Tree,97.9251366886303,97.92001964791133,97.93048978234587,97.9251366886303
1,Random Forest,98.19150427590074,98.18553028073859,98.23605579968383,98.19150427590074
2,XGBoost,98.23356231599607,98.22690540669757,98.25613620998308,98.23356231599607
3,LightGBM,98.33169774288518,98.3284548331694,97.4356386367107,98.33169774288518
4,CatBoost,98.37375578298051,98.37100748390492,96.48957950228174,98.37375578298051
5,SVM,91.95289499509323,91.44361574946443,83.84920168571958,91.95289499509323
6,Logistic Regression,93.69129398570027,93.90689277614463,82.43282733888047,93.69129398570027
7,AutoML-Ensemble,98.38777512967896,98.38354758777781,97.49929943511123,98.38777512967896
8,LAE-XAI-IDS,98.38777512967896,98.38309108113657,97.53865691788704,98.38777512967896
