,model,Accuracy (%),Precision (%),Recall (%),Weighted F1 (%),Macro F1 (%),Batch Latency (ms),P99 Single-Row Latency (ms),Model Size (MB)
0,Decision Tree,97.9251366886303,97.96270314182345,97.9251366886303,97.92001964791133,97.93048978234587,0.00046111033226099783,1.6069240000132368,0.1302652359008789
1,Random Forest,98.19150427590074,98.24188840635453,98.19150427590074,98.18553028073859,98.23605579968383,0.08405234824057352,71.7934539999726,46.24453639984131
2,XGBoost,98.23356231599607,98.26909090193543,98.23356231599607,98.22690540669757,98.25613620998308,0.003689597644747078,5.846555999995644,5.1204118728637695
3,LightGBM,98.33169774288518,98.36212124116398,98.33169774288518,98.3284548331694,97.4356386367107,0.01848422823496297,3.799332999844864,16.042967796325684
4,CatBoost,98.37375578298051,98.39546165191531,98.37375578298051,98.37100748390492,96.48957950228174,0.0010812561334788212,2.0819460003485784,6.285275459289551
5,SVM,91.95289499509323,92.08617370231832,91.95289499509323,91.44361574946443,83.84920168571958,0.36653009953736937,1.6395530002409942,3.1367273330688477
6,Logistic Regression,93.69129398570027,94.48473386999595,93.69129398570027,93.90689277614463,82.43282733888047,0.0006857563437204259,0.8706050007731392,0.006686210632324219
7,AutoML-Ensemble,98.38777512967896,98.41620559613077,98.38777512967896,98.38354758777781,97.49929943511123,0.016228809757527458,8.411794000176085,27.448726654052734
8,LAE-XAI-IDS,98.38777512967896,98.41568502617349,98.38777512967896,98.38309108113657,97.53865691788704,0.01390471050041831,5.851791999602937,27.43485450744629
