True,BENIGN,Bot,Brute Force,DoS/DDoS,Infiltration,PortScan,Web Attack
BENIGN,1990,3,0,5,0,0,2
Bot,1,245,0,0,0,0,0
Brute Force,43,0,1941,2,0,4,1
DoS/DDoS,13,0,0,1986,0,1,0
Infiltration,0,0,0,0,7,0,0
PortScan,16,0,0,26,0,442,2
Web Attack,6,0,0,1,0,0,396
