True,BENIGN,Bot,Brute Force,DoS/DDoS,Infiltration,PortScan,Web Attack
BENIGN,1990,2,0,5,1,0,2
Bot,1,245,0,0,0,0,0
Brute Force,38,0,1946,2,0,4,1
DoS/DDoS,14,0,0,1985,0,1,0
Infiltration,0,0,0,0,7,0,0
PortScan,10,0,0,26,0,448,2
Web Attack,6,0,0,0,0,0,397
